row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
1-9,22,14 0,3,11 1,0,0,0,,19,18 6
10-19,25,15 9,4,14 8,1,4 2,0,,20,19 6
20-29,19,12 1,3,11 1,3,12 5,1,25,12,11 7
30-39,14,8 9,5,18 6,1,4 2,0,,8,7 8
40-49,10,6 4,1,3 7,2,8 3,0,,7,6 9
50-59,12,76,3,111,2,83,0,,7,69
60-69,9,57,1,37,2,83,0,,6,59
70-79,6,3 8,1,3 7,2,83,1,25,2,20
80-89,3,19,0,0,0,0,0,,3,29
90-99,3,1 9,0,0,0,0,0,,3,2 9
100-149,10,6 4,1,3 7,4,16 7,0,,5,4 9
150-199,10,6 4,1,3 7,2,8 3,1,25,6,5 9
200-299,8,5 1,2,7 4,4,16 7,(1,,2,20
300-399,2,1 3,1,3 7,0,0,0,,1,1 0
400 and over,4,2 6,1,3 7,1,4 2,1,25 _,1,1 0
