Unfair labor practice cases panel,Total,AFL affiliates 1,CIO affiliates 1,AFL-CIO affiliates 2,Unaffiliated unions,Individuals,Employers,Representation cases panel,Total,AFL affiliates 1,CIO affiliates 1,AFL-CIO affiliates 2,Unaffiliated unions,Individuals,Employers
CA cases,,,,,,,,RC cases,,,,,,,
"Pending July 1, 1955 (CA / RC)",1804,689,402,,78,1026,,1252,809,339,,102,2,18,
Received fiscal 1956 (CA / RC),3522,471,196,1055,147,1206,447,7121,2141,911,3467,584,184,268,
On docket fiscal 1956 (CA / RC),5326,1160,598,2022,225,2322,,8373,2950,1250,3467,686,186,,
Closed fiscal 1956 (CA / RC),3841,700,346,1114,158,1484,339,7093,2295,970,3231,572,158,285,
"Pending June 30, 1956 (CA / RC)",1485,,,908,67,824,109,1280,,,1156,114,28,,
CB cases / RM cases (section header),,,,,,,,,,,,,,,
"Pending July 1, 1955 (CB)",683,36,15,,11,505,116,,,,,,,,
Received fiscal 1956 (CB),1171,17,4,53,7,533,590,,,,,,,,
On docket / Closed / Pending CB rows,,,,,,,,,,,,,,,
CC cases / RD cases (section header),,,,,,,,,,,,,,,
CC totals + RD totals (combined summary),,,,,,,,,,,,,,,
CD cases (jurisdictional disputes) section,,,,,,,,,,,,,,,
CD totals summary,,,,,,,,,,,,,,,
