Formal action taken,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA cases 1,Unfair labor practice cases / Other C cases 1,Representation cases
Complaints issued,713,713,314,399,
Notices of hearing issued,3805,29,29,,3776
Cases heard,2309,386,218,168,1923
Intermediate reports issued,319,319,192,127,
"Decisions issued, total",2151,400,233,167,1751
Decisions and orders,332,332,210,122,
Decisions and consent orders,68,68,,45,
Elections directed,1357,,,,1357
Rulings on objections and/or challenges in stipulated election cases,155,,,,155
Dismissals on record,239,,,,239
