Industrial group 1,All cases,Unfair labor practice cases / CA 2,Unfair labor practice cases / CB 2,Unfair labor practice cases / CC 2,Unfair labor practice cases / CD 2,Representation cases / RC 2,Representation cases / RM 2,Representation cases / RD 2
Manufacturing—Continued,,,,,,,,
Rubber products,88,29,0,0,0,57,0,2
Leather and leather products,164,46,4,8,0,96,5,5
"Stone, clay, and glass products",305,65,14,2,2,206,11,5
Primary metal industries,446,107,25,2,2,286,13,11
Fabricated metal products (except machinery and transportation equipment),874,226,39,9,0,542,34,24
Machinery (except electrical),826,188,29,6,1,544,26,32
"Electrical machinery, equipment, and supplies",499,143,27,2,0,285,14,27
Aircraft and parts,192,63,18,1,1,95,6,8
Ship and boat building and repairing,69,20,3,1,0,39,2,4
Automotive and other transportation equipment,248,64,15,3,0,149,6,11
"Professional, scientific, and controlling instruments",81,21,11,1,0,42,2,3
Miscellaneous manufacturing,434,121,37,11,1,234,22,3
"Agriculture, forestry, and fisheries",31,18,5,1,0,5,1,1
Mining,216,72,12,12,2,107,6,5
Metal mining,64,14,2,0,0,43,3,2
Coal mining,43,33,2,7,0,0,0,1
Crude petroleum and natural gas production,12,6,0,0,0,3,0,3
Nonmetallic mining and quarrying,97,19,3,9,0,58,3,3
Construction,934,232,271,185,109,119,18,0
Wholesale trade,1003,203,35,33,1,621,90,20
Retail trade,1239,267,53,23,8,736,75,33
"Finance, insurance, and real estate",38,19,1,1,0,16,0,1
"Transportation, communication, and other public utilities",1541,408,375,73,15,553,79,38
Highway passenger transportation,53,18,6,0,0,23,2,4
Highway freight transportation,509,164,76,32,0,170,57,8
Water transportation,354,145,145,25,2,25,6,5
Warehousing and storage,160,24,11,5,7,102,5,4
Other transportation,40,6,3,5,0,21,5,1
Communication,280,33,129,6,2,84,4,7
"Heat, light, power, water, and sanitary services",115,18,5,0,4,74,5,3
Services,328,107,28,1,4,170,14,6
