Division and State 1,All cases,Unfair labor practice cases / CA 2,Unfair labor practice cases / CB 2,Unfair labor practice cases / CC 2,Unfair labor practice cases / CD 4,Representation cases / RC 2,Representation cases / RM 2,Representation cases / RD 2
Middle Atlantic,2760,812,310,70,33,1323,147,65
New York,1415,463,188,41,15,584,95,32
New Jersey,558,131,44,14,13,331,17,11
Pennsylvania,787,218,78,15,5,408,35,22
East North Central,2785,668,187,47,15,1666,104,98
Ohio,666,144,35,17,7,411,34,24
Indiana,364,97,27,6,4,197,14,19
Illinois,853,222,72,4,2,511,33,33
Michigan,668,155,30,4,1,391,21,22
Wisconsin,254,50,23,16,1,134,7,10
West North Central,1556,265,51,28,9,792,56,37
West North Central states detail,,,,,,,,
South Atlantic,1022,459,153,101,12,760,65,32
South Atlantic states detail,,,,,,,,
East South Central,815,212,112,61,32,326,28,16
East South Central states detail,,,,,,,,
West South Central,873,232,63,48,9,489,44,28
West South Central states detail,,,,,,,,
Mountain,353,154,28,11,4,322,39,16
Mountain states detail,,,,,,,,
Pacific,1610,429,171,47,12,823,88,40
Washington,231,64,24,8,4,102,12,5
Oregon,182,49,8,6,1,100,11,7
California,1197,316,139,33,8,621,60,32
Outlying areas,359,105,52,7,0,181,9,5
Outlying areas detail,,,,,,,,
