Method and stage of disposition,All R cases 1 / Number of cases,All R cases 1 / Percent of cases closed,RC cases 1 / Number of cases,RC cases 1 / Percent of cases closed,RM cases 1 / Number of cases,RM cases 1 / Percent of cases closed,RD cases 1 / Number of cases,RD cases 1 / Percent of cases closed
Total number of cases closed,8070,100.0,7093,100.0,602,100.0,375,100.0
Consent election,2131,26.4,1981,27.9,103,17.1,47,12.5
Before notice of hearing,1468,18.2,1373,19.4,68,11.3,27,7.2
"After notice of hearing, before hearing opened",584,7.2,535,7.5,34,5.6,15,4.0
"After hearing opened, before Board decision",79,1.0,73,1.0,1,.2,5,1.3
Stipulated election,1757,21.8,1634,23.0,97,16.1,26,7.0
Before notice of hearing,903,11.2,827,11.7,68,11.3,8,2.2
"After notice of hearing, before hearing opened",621,7.7,591,8.3,16,2.6,14,3.7
"After hearing opened, before Board decision",93,1.2,86,1.2,6,1.0,1,.3
After postelection decision,140,1.7,130,1.8,7,1.2,3,.8
Withdrawn,1959,24.3,1624,22.9,203,33.7,132,35.2
Before notice of hearing,1195,14.8,1004,14.1,112,18.6,79,21.1
"After notice of hearing, before hearing opened",563,7.0,440,6.2,78,12.9,45,12.0
"After hearing opened, before Board decision",119,1.5,104,1.5,9,1.5,6,1.6
After Board decision and direction of (election),82,1.0,76,1.1,4,.7,2,.5
Dismissed,975,12.1,739,10.4,123,20.5,113,30.1
Before notice of hearing,596,7.4,458,6.4,71,11.8,67,17.9
"After notice of hearing, before hearing opened",82,1.0,59,.8,12,2.0,11,2.9
"After hearing opened, before Board decision",24,.4,19,.3,3,.5,2,.5
By Board decision,273,3.4,203,2.9,37,6.2,33,8.8
Board-ordered election,1240,15.3,1110,15.7,73,12.1,57,15.2
Otherwise,8,.1,8,.1,,.5,0,.0
