Type of case,Total elections,Type of election / Consent 1,Type of election / Stipulated 2,Type of election / Board ordered 3,Type of election / Regional director directed 4
"All elections, total",5094,2123,1736,1218,17
"Eligible voters, total",476001,142416,182952,148996,1637
"Valid votes, total",426509,123629,167250,134245,1385
"RC cases, total",4694,1977,1624,1093,
Eligible voters,448115,135727,171198,141190,
Valid votes,401581,117801,156428,127352,
"RM cases, total",252,98,86,68,
Eligible voters,14597,4264,6924,3409,
Valid votes,12987,3645,6275,3067,
"RD cases, total",129,46,26,57,
Eligible voters,11289,2062,4830,4397,
Valid votes,10289,1916,4547,3826,
"UD cases, total",19,2,0,0,17
Eligible voters,2000,363,0,0,1637
Valid votes,1652,267,0,0,1385
