Industrial group 1,Number of elections / Total,Number of elections / In which representation rights were won by — AFL affiliates,Number of elections / In which representation rights were won by — CIO affiliates,Number of elections / In which representation rights were won by — AFL-CIO affiliates,Number of elections / In which representation rights were won by — Unaffiliated unions,Number of elections / In which no representative was chosen,Eligible voters,Valid votes cast
Total,4946,986,486,1430,328,1716,462712,414568
Manufacturing,3457,658,421,975,248,1155,394228,354401
Manufacturing subgroups detail (Ordnance through Misc manufacturing),,,,,,,,
Fisheries,5,0,0,5,0,0,127,94
Mining,81,16,9,7,13,23,6987,6363
Construction,46,14,5,19,6,14,6716,4810
Wholesale trade,472,95,23,148,19,187,16668,14542
Retail trade,470,80,27,84,12,198,18012,15992
"Finance, insurance, and real estate",13,0,1,1,0,0,835,779
"Transportation, communication, and other public utilities",355,79,14,119,28,115,16754,14894
Services,69,16,7,16,9,26,2387,2592
