Industrial group 1,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,Representation cases / RD
Total,13303,5506,3655,1271,462,118,7797,6774,654,369
Manufacturing,8038,2886,2230,477,153,26,5152,4544,344,264
Manufacturing SIC subgroups detail (23 categories),,,,,,,,,,
"Agriculture, forestry, and fisheries",9,6,3,2,1,0,3,2,1,0
Mining,197,88,72,14,1,1,109,95,11,3
Construction,963,820,309,327,119,75,133,120,12,1
Wholesale trade,1107,365,242,61,58,4,742,660,57,25
Retail trade,1094,337,253,57,23,4,757,666,60,31
"Finance, insurance, and real estate",70,34,20,12,1,1,36,32,4,0
"Transportation, communication, and other public utilities",1476,815,426,287,95,7,661,540,91,30
Services,349,145,50,44,11,1,204,174,18,12
