Stage,Number of unfair labor practice cases — Total,Number of unfair labor practice cases — Identification of complainant — AFL-CIO affiliates,Number of unfair labor practice cases — Identification of complainant — Unaffiliated unions,Number of unfair labor practice cases — Identification of complainant — Individuals,Number of unfair labor practice cases — Identification of complainant — Employers,Number of representation cases — Total,Number of representation cases — Identification of petitioner — AFL-CIO affiliates,Number of representation cases — Identification of petitioner — Unaffiliated unions,Number of representation cases — Identification of petitioner — Individuals,Number of representation cases — Identification of petitioner — Employers
CA cases (ULP) / RC cases (Rep) — Section heading,,,,,,,,,,
"CA/RC — Pending July 1, 1957",1604,970,100,625,,1503,1315,186,0,2
CA/RC — Received fiscal 1958,6908,2108,544,3472,,6284,4882,1396,6,0
CA/RC — On docket fiscal 1958,8512,3078,644,4107,,7787,6197,1582,6,2
CA/RC — Closed fiscal 1958,4955,2028,343,2041,,6352,5174,1171,5,2
"CA/RC — Pending June 30, 1958",2957,1168,301,1438,,1435,1023,411,1,0
CB cases / RM cases — Section heading,,,,,,,,,,
"CB/RM — Pending July 1, 1957",717,530,17,25,145,146,0,0,0,146
CB/RM — Received fiscal 1958,2473,64,26,1985,461,626,0,0,0,626
CB/RM — On docket fiscal 1958,3190,594,43,2010,543,772,0,0,0,772
CB/RM — Closed fiscal 1958,1807,414,26,1144,223,599,0,0,0,599
"CB/RM — Pending June 30, 1958",1383,180,17,1055,251,173,0,0,0,173
CC cases / RD cases — Section heading,,,,,,,,,,
"CC/RD — Pending July 1, 1957",215,5,2,0,210,78,0,1,77,0
CC/RD — Received fiscal 1958,527,7,2,5,513,489,2,2,485,0
CC/RD — On docket fiscal 1958,742,12,4,5,723,567,2,3,562,0
CC/RD — Closed fiscal 1958,479,7,2,5,465,452,1,3,448,0
"CC/RD — Pending June 30, 1958",263,5,2,0,258,115,1,0,114,0
CD cases — Section heading (no RD-equivalent for jurisdictional),,,,,,,,,,
"CD — Pending July 1, 1957",54,2,0,1,51,,,,,
CD — Received fiscal 1958,192,14,1,16,173,,,,,
CD — On docket fiscal 1958,246,19,1,17,224,,,,,
CD — Closed fiscal 1958,158,13,2,8,128,,,,,
"CD — Pending June 30, 1958",88,6,0,9,96,,,,,
