row_label,Charge subsection,Number of cases showing specific allegations — Left,Percent of total cases — Left,Charge subsection,Number of cases showing specific allegations — Right,Percent of total cases — Right
A. CHARGES FILED AGAINST EMPLOYERS UNDER SEC 8(a) — Section heading,,,,,,
Total cases / 8(a)(3),6068,100.0,8 (a) (3),4649,76.6,
8(a)(1) / 8(a)(4),6068,100.0,8 (a) (4),116,1.9,
8(a)(2) / 8(a)(5),706,11.6,8 (a) (5),1039,17.1,
B. CHARGES FILED AGAINST UNIONS UNDER SEC 8(b) — Section heading,,,,,,
Total cases / 8(b)(3),3192,100.0,8 (b) (3),211,6.6,
8(b)(1) / 8(b)(4),2214,69.4,8 (b) (4),719,22.5,
8(b)(2) / 8(b)(5),1952,61.2,8 (b) (5),69,2.2,
(spacer) / 8(b)(6),,,8 (b) (6),17,.5,
C. ANALYSIS OF 8(b)(1) AND 8(b)(4) — Section heading,,,,,,
Total cases 8(b)(1) / Total cases 8(b)(4),2214,100.0,Total cases 8(b)(4),719,100.0,
8(b)(1)(A) / 8(b)(4)(A),2183,98.6,8 (b) (4) (A),494,68.7,
8(b)(1)(B) / 8(b)(4)(B),42,1.9,8 (b) (4) (B),203,28.2,
(spacer) / 8(b)(4)(C),,,8 (b) (4) (C),28,3.9,
(spacer) / 8(b)(4)(D),,,8 (b) (4) (D),192,26.7,
