Division and State,Total elections,Number of elections in which representation rights were won by — AFL-CIO affiliates,Number of elections in which representation rights were won by — Unaffiliated unions,In which no representative was chosen,Employees eligible to vote,Total valid votes cast,Valid votes cast for — AFL-CIO affiliates,Valid votes cast for — Unaffiliated unions,Valid votes cast for — No union,Employees in units choosing representation
Total,4337,2131,505,1701,331217,315428,154997,33545,124870,196334
New England,262,104,27,111,34473,31762,13111,4704,11857,20186
Maine,21,10,2,9,2336,2109,1438,108,543,1545
Massachusetts,132,60,8,63,19243,17633,8879,2800,5954,11857
Connecticut,44,8,9,27,6608,6083,2503,613,2777,3232
Middle Atlantic,808,432,103,273,67699,60733,32628,7790,20306,44012
New York,339,183,54,102,33572,29716,11724,2328,6888,15314
New Jersey,224,104,33,87,22432,19233,6657,3108,6475,13494
Pennsylvania,245,145,16,84,11695,10789,,,,
East North Central,911,449,112,350,71164,64065,31884,9962,24777,40339
Ohio,276,137,33,106,22884,20856,10506,3454,7029,11929
Illinois,246,108,42,102,19768,16037,7112,3432,6455,8063
Michigan,187,90,22,75,13989,12748,5455,2103,4455,6272
Wisconsin,103,46,6,51,7899,7159,3802,276,4277,3508
West North Central,478,248,60,170,29335,25995,13098,2843,9944,16371
