Case No.,Union and company,Date petition for injunction filed,Type of petition,Temporary restraining order — Date issued,Temporary restraining order — Date lifted,Date temporary injunction granted,Date injunction denied,Date injunction proceedings dismissed or dissolved,Date Board decision and order
2-CD-125,"Longshoremen's Association, Locals 856-A, 1277 and 1804 (Abraham Kaplan, Packaging Employers of Brooklyn, Inc.)","June 25, 1956",10 (l),,,"Apr 25, 1957",,"June 3, 1958","Dec 5, 1957"
1-CC-148,"*Teamsters, Local 340 (Maine Canned Foods, Inc.)","June 25, 1956",10 (l),,,,"Aug 28, 1956","Dec 19, 1957",Withdrawn
13-CC-104,Carpenters et al. (J.G. Roy & Sons),"July 26, 1956",10 (l),,,"July 12, 1956",,"July 29, 1957","June 14, 1957"
3-CC-37,"*Teamsters, Local 294 (E.G. DeLas & Sons)","July 26, 1956",10 (l),,,,"Nov 7, 1957","Oct 23, 1957","May 24, 1957"
4-CC-44,"Carpenters, Local 1016 (Boehner Lumber Co., Inc.)","July 26, 1956",10 (l),,,,,"Jan 9, 1958",Withdrawn
"10-CC-23, 250 (12-CC-21)","Lathers, Local 46 (Jacobson & Co., Inc.)","Aug 1, 1956",10 (l),,,"May 1, 1957",,"Mar 12, 1958","Feb 19, 1958"
2-CD-126,"Teamsters, Local 300 (U & M Transit, Inc.)","Aug 1, 1956",10 (l),,,"Aug 15, 1956",,,
"10-CC-227, 262, 264, 266 (12-CC-44)","Garment Workers, Ladies, Local 135 (James Knitting Mills, Inc. et al.)","Aug 22, 1956",10 (l),,,"Jan. 3, 1957",,"June 2, 1958","May 7, 1957"
"10-CC-227-262, 264, 266","Bricklayers, Local 1, and Carpenters, Local 17 (I'lbert Sapp, Inc. & A.C. West)","Aug 21, 1956",10 (l),,,,,"June 7, 1958","Feb. 7, 1958"
2-CD-123,"Engineers, Operating, Local 138 (Building Contractors Association of New Jersey)","Sept. 4, 1956",10 (l),,,,,"Apr. 2, 1958","Aug 7, 1957"
15-CC-82,"Teamsters, Locals 405, 406A, 406B, and 400C (Jahncke Service, Inc.)","Sept. 18, 1956",10 (l),,,"Oct. 5, 1956",,,"Nov. 30, 1956"
7-CC-49,Lathers and Local 2 (Acoustical Contractors Association of Detroit Mich.),"Sept. 19, 1956",10 (l),,,,,"Feb. 26, 1958","Jan. 17, 1958"
7-CC-49 (cont),Grand Rapids Building & Construction Trades Council et al (Med Roofing Co.),"Sept. 21, 1956",10 (l),,,,,"Nov. 19, 1956",
21-CC-152,"Retail, Wholesale Employees, District 65 (R.K. Roeder)","Sept. 21, 1956",10 (l),,,,,"Nov. 19, 1956",
10-CD-26,"Longshoremen and Warehousemen, Local 16 (Denali-McCray)","Oct. 12, 1956",10 (l),,,,,"Nov. 15, 1957","Jan 2, 1957"
