Status,Number of unfair labor practice cases / Total,Number of unfair labor practice cases / AFL-CIO affiliates,Number of unfair labor practice cases / Unaffiliated unions,Number of unfair labor practice cases / Individuals,Number of unfair labor practice cases / Employers,Number of representation cases / Total,Number of representation cases / AFL-CIO affiliates,Number of representation cases / Unaffiliated unions,Number of representation cases / Individuals,Number of representation cases / Employers
CA cases / RC cases (section heading),,,,,,,,,,
"Pending July 1, 1958 (CA / RC)",2937,1029,312,1612,4,1435,1012,422,1,
Received fiscal 1959 (CA / RC),8204,2043,1046,4464,22,7959,5259,2693,7,
On docket fiscal 1959 (CA / RC),11223,2985,2353,5968,26,9394,6271,3115,8,
Closed fiscal 1959 (CA / RC),7815,2202,992,4315,6,7415,5010,2398,7,
"Pending June 30, 1959 (CA / RC)",3308,871,471,1766,20,1979,1261,717,1,
CB cases / RM cases (section heading),,,,,,,,,,
CB+RM rows summary,,,,,,,,,,
CC cases / RD cases (section heading),,,,,,,,,,
CC+RD rows summary,,,,,,,,,,
CD cases (section heading),,,,,,,,,,
CD rows summary,,,,,,,,,,
