row_label,Allegation,Number of cases showing specific allegations,Percent of total cases,Allegation,Number of cases showing specific allegations,Percent of total cases
A. CHARGES FILED AGAINST EMPLOYERS UNDER SEC. 8(a),,,,,,
Total cases,8266,100.0,8(a)(3),6775,82.0,
8(a)(1),8266,100.0,8(a)(4),173,2.1,
8(a)(2),724,8.8,8(a)(5),1311,15.9,
B. CHARGES FILED AGAINST UNIONS UNDER SEC. 8(b),,,,,,
Total cases,3973,100.0,8(b)(3),208,5.2,
8(b)(1),2849,71.7,8(b)(4),844,21.2,
8(b)(2),2454,61.8,8(b)(5),17,.4,
8(b)(6),,,8(b)(6),14,.4,
C. ANALYSIS OF 8(b)(1) AND 8(b)(4),,,,,,
Total cases 8(b)(1),2849,100.0,Total cases 8(b)(4),844,100.0,
8(b)(1)(A),2816,98.8,8(b)(4)(A),624,73.9,
8(b)(1)(B),45,1.6,8(b)(4)(B),202,23.9,
8(b)(4)(C),,,8(b)(4)(C),33,3.9,
8(b)(4)(D),,,8(b)(4)(D),187,22.2,
