Division and State 1,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,Representation cases / RD
Total,21586,12239,8266,3129,657,187,9347,7959,847,541
New England,971,468,350,95,22,1,503,428,50,25
Maine,64,36,27,2,7,0,28,23,3,2
"Additional New England states (NH, VT, MA, RI, CT)",,,,,,,,,,
Middle Atlantic,4290,2461,1558,713,129,61,1829,1511,207,111
East North Central,4509,2503,1787,613,76,27,2006,1647,217,142
West North Central,1361,517,341,119,43,14,844,736,70,28
South Atlantic,2904,1861,1456,384,64,13,1043,565,54,44
East South Central,1958,1529,872,470,135,31,429,350,26,53
West South Central,1452,809,569,184,50,6,643,555,28,60
Mountain,873,350,259,54,31,6,522,474,32,16
Pacific,2710,1444,946,412,57,19,1246,995,142,109
Additional,,,,,,,,,,
