Formal action taken,All cases,Unfair labor practice cases / All C cases 1,Unfair labor practice cases / CA cases 1,Unfair labor practice cases / Other C cases 1,Representation cases
Complaints issued,2141,2141,1480,661,5288
Notices of hearing issued,5337,49,,49,
Cases heard,4420,1474,1046,428,2946
Intermediate reports issued,1226,1226,882,344,
"Decisions issued, total",4122,1456,857,599,2666
Decisions and orders,934,934,643,291,
Decisions and consent orders,522,522,214,308,
Elections directed,2167,,,,2167
Rulings on objections and/or challenges in stipulated election cases,208,,,,208
Dismissals on record,291,,,,291
