Type of case,Total elections,Type of election / Consent 1,Type of election / Stipulated 2,Type of election / Board ordered 3,Type of election / Regional director directed 4,Type of election / Expedited elections under 8(b)(7) 5
"All elections, total",6633,2798,1867,1919,14,35
"Eligible voters, total",503907,135122,189063,177004,1114,1604
"Valid votes, total",453295,121402,173099,156914,522,1358
RC cases total,6021,2558,1742,1705,,16
Eligible voters (RC),461985,121047,178938,161562,,438
Valid votes (RC),416980,108832,164438,143333,,377
RM cases total,359,147,85,108,,19
Eligible voters (RM),21979,6348,5753,8712,,1166
Valid votes (RM),19743,5637,5250,7875,,981
RD cases total,237,92,39,106,,
Eligible voters (RD),17421,7721,2970,6730,,
Valid votes (RD),15340,6927,2707,5706,,
UD cases total,16,1,1,,14,
Eligible voters (UD),2522,6,1402,,1114,
Valid votes (UD),1232,6,704,,522,
