Size of unit (number of employees),Number eligible to vote,Number of elections,Percent of total,Elections in which representation rights were won by / AFL-CIO affiliates / Number,Elections in which representation rights were won by / AFL-CIO affiliates / Percent,Elections in which representation rights were won by / Unaffiliated unions / Number,Elections in which representation rights were won by / Unaffiliated unions / Percent,Elections in which no representative was chosen / Number,Elections in which no representative was chosen / Percent
A. COLLECTIVE-BARGAINING ELECTIONS — Total,483964,6380,100 0,2400,100.0,1340,100 0,2640,100 0
1-9,8149,1429,22 4,487,20 3,460,34 3,482,18 3
10-19,18248,1298,20 4,494,20 6,305,22 8,499,18 9
20-29,19800,770,12 1,304,12 7,127,9 5,339,12 8
30-39,18129,531,8 3,203,8 5,75,5 6,253,9 6
40-49,16095,366,5 7,159,6 6,54,4 0,153,5 8
50-59,15684,290,4 5,101,4 2,52,3 9,137,5 2
60-69,14366,224,3 5,83,3 5,36,2 7,108,4 1
70-79,13496,183,2 9,76,3 2,20,1 5,87,3 3
80-89,10771,128,2 0,49,2 0,19,1 4,60,2 3
90-99,11102,118,1 8,39,1 6,18,1 4,61,2 3
100-149,37495,396,6 2,171,7 1,54,4 0,170,6 4
"Remaining Panel A buckets (150-199, 200-299, 300-399, 400-499, 500-599, 600-699, 700-799, 800-899, 900-999, 1000-1999, 2000-2999, 3000-3999, 4000-4999, 5000-9999, 10000+)",,,,,,,,,
B. DECERTIFICATION ELECTIONS — Total,17421,237,100.0,51,100 0,23,100 0,163,100 0
Panel B size-buckets (1-9 through 400-and-over) — 15 size buckets,,,,,,,,,
