row_label,Number of cases / Total,Number of cases / Identification of complainant or petitioner / AFL-CIO affiliates,Number of cases / Identification of complainant or petitioner / Unaffiliated unions,Number of cases / Identification of complainant or petitioner / Individuals,Number of cases / Identification of complainant or petitioner / Employers
All cases,,,,,
"Pending July 1, 1960",7007,2556,1268,2277,906
Received fiscal 1961,22691,8908,4998,6321,2464
On docket fiscal 1961,29698,11464,6276,8598,3360
Closed fiscal 1961,22405,8711,4908,6353,2433
"Pending June 30, 1961",7293,2753,1368,2241,927
Unfair labor practice cases,,,,,
"Pending July 1, 1960",4858,1383,531,2165,779
Received fiscal 1961,12132,3298,1445,5664,1725
On docket fiscal 1961,16990,4681,1976,7829,2504
Closed fiscal 1961,12116,3238,1374,5732,1772
"Pending June 30, 1961",4874,1443,602,2097,732
Representation cases,,,,,
"Pending July 1, 1960",2142,1173,747,105,117
Received fiscal 1961,10508,5610,3553,606,739
On docket fiscal 1961,12650,6783,4300,711,856
Closed fiscal 1961,10242,5473,3534,574,661
"Pending June 30, 1961",2408,1310,766,137,195
Union shop deauthorization cases,,,,,
"Pending July 1, 1960",7,,,7,
Received fiscal 1961,51,,,51,
On docket fiscal 1961,58,,,58,
Closed fiscal 1961,47,,,47,
"Pending June 30, 1961",11,,,11,
