Division and State,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA cases,Unfair labor practice cases / CB cases,Unfair labor practice cases / CC cases,Unfair labor practice cases / CD cases,Unfair labor practice cases / CE cases,Unfair labor practice cases / CP cases,Representation cases / All R cases,Representation cases / RC cases,Representation cases / RM cases,Representation cases / RD cases
Total,22640,12132,8135,2830,815,288,57,7,10508,9177,738,593
New England,992,472,365,63,33,9,2,,520,438,28,34
Maine,71,31,23,5,1,,,,40,33,4,3
New Hampshire,50,16,15,1,,,,,34,31,,3
Vermont,24,12,10,1,1,,,,12,10,,2
Massachusetts,554,268,194,41,18,6,1,,286,247,9,30
Rhode Island,92,30,24,3,2,,1,,62,57,4,1
Connecticut,201,105,92,7,2,1,,,96,80,4,5
Middle Atlantic,4945,2529,1624,761,231,90,11,12,2017,1768,136,113
New York,2369,1412,838,366,138,43,6,6,957,854,68,35
New Jersey,1075,282,219,154,51,23,2,5,454,430,33,21
Pennsylvania,1401,535,463,138,20,17,3,,575,484,35,57
East North Central,4929,2643,1804,514,124,45,12,14,2286,1989,144,153
Illinois,1376,581,463,140,25,16,4,14,685,509,42,32
Indiana,555,332,269,38,16,14,1,2,198,173,7,18
Ohio,1303,790,561,173,25,19,6,6,576,522,37,17
Michigan,1233,666,411,178,49,11,1,,569,496,33,40
Wisconsin,357,119,81,22,7,6,,2,188,157,16,15
West North Central,1494,651,471,90,62,13,5,10,855,779,47,29
Iowa,162,95,73,5,11,5,,1,136,124,8,4
Minnesota,245,70,46,10,11,0,0,3,175,153,9,13
Missouri,642,392,242,60,23,8,5,4,310,284,16,10
North Dakota,16,8,8,0,0,0,0,0,8,8,,
South Dakota,55,26,20,1,3,,,,27,23,5,
Nebraska,84,29,26,0,1,0,0,0,72,67,5,0
Kansas,190,94,71,11,9,0,0,2,105,92,10,2
