Stage and method of disposition,All C cases / Number of cases closed,All C cases / Percent of cases closed,CA cases / Number of cases closed,CA cases / Percent of cases closed,CB cases / Number of cases closed,CB cases / Percent of cases closed,CC cases / Number of cases closed,CC cases / Percent of cases closed,CD cases / Number of cases closed,CD cases / Percent of cases closed,CE cases / Number of cases closed,CE cases / Percent of cases closed,CP cases / Number of cases closed,CP cases / Percent of cases closed
"After Board decision, before court decree",458,3.8,358,4.4,79,3.1,17,1.9,0,0,0,0,4,14
Compliance,294,2.4,234,2.9,16,1.8,14,1.6,0,0,0,0,0,0
Withdrawn,2,,2,,0,0,0,0,0,0,0,0,0,0
Dismissed,157,1.3,120,1.5,30,1.1,3,0.3,0,0,0,0,3,11.1
Otherwise,5,,2,,1,,0,0,0,0,0,0,1,
"After circuit court decree, before Supreme Court action",214,1.7,137,1.7,34,1.3,40,4.5,3,1.3,0,0,0,0
Compliance,162,1.3,103,1.3,30,1.1,26,2.9,3,1.3,0,0,0,0
Withdrawn,4,,2,,2,,0,0,0,0,0,0,0,0
Dismissed,48,0.4,32,0.4,2,,14,1.6,0,0,0,0,0,0
After Supreme Court action,35,0.3,27,0.3,5,0.2,3,0.3,0,0,0,0,0,0
Compliance,31,0.3,24,0.3,4,,3,0.3,0,0,0,0,0,0
Dismissed,4,,3,,1,,0,0,0,0,0,0,0,0
