Type of case,Total elections,Type of election / Consent,Type of election / Stipulated,Type of election / Board ordered,Type of election / Regional director directed,Type of election / Expedited elections under 8(b)(7)
"All elections, total",6610,3077,1713,1786,8,26
"Eligible voters, total",471260,142428,171520,155983,173,1156
"Valid votes, total",421428,127315,155161,137853,152,947
"RC cases, total",6042,2810,1597,1623,,12
Eligible voters,436181,129142,158122,148059,,858
Valid votes,390461,115711,143064,130983,,703
"RM cases, total",312,162,67,70,,13
Eligible voters,14749,5448,5329,3683,,289
Valid votes,12849,4702,4685,3136,,226
"RD cases, total",241,99,49,92,1,
Eligible voters,18364,6052,8069,4234,9,
Valid votes,16604,5457,7412,3727,8,
"UD cases, total",15,6,,1,8,
Eligible voters,1966,1780,,7,173,
Valid votes,1514,1355,,7,152,
