Industrial group,Number of elections / Total,Number of elections / In which representation rights were won by / AFL-CIO affiliates,Number of elections / In which representation rights were won by / Unaffiliated unions,Number of elections / In which no representative was chosen,Eligible voters,Valid votes cast
Total,6354,2170,1393,2791,450930,403310
Manufacturing,3739,1434,697,1608,305228,277513
Ordnance and accessories,5,3,1,1,607,535
Food and kindred products,656,202,153,271,36022,34107
Tobacco manufactures,5,2,1,2,1496,1474
Textile mill products,62,28,8,26,10329,9564
Apparel and other finished products made from fabrics and similar materials,64,22,7,35,5909,5380
Lumber and wood products (except furniture),177,76,27,74,11389,10172
Furniture and fixtures,128,57,16,55,9819,8954
Paper and allied products,175,77,37,61,19497,17915
"Printing, publishing, and allied industries",218,89,61,66,5923,5448
Chemicals and allied products,279,102,56,121,21961,20041
Primary metal industries,225,92,42,91,18228,15843
Machinery (except electrical),324,130,24,170,30211,26338
"Electrical machinery, equipment, and supplies",251,93,45,113,39008,33165
Transportation equipment,171,71,23,73,16855,13373
"Agriculture, forestry, and fisheries",2,2,0,0,30,25
Mining,71,14,25,32,7361,6560
Construction,153,63,34,56,4748,3770
Wholesale trade,626,128,222,277,30499,26066
Retail trade,813,281,117,415,32323,27510
"Finance, insurance, and real estate",81,7,19,50,3235,1083
"Transportation, communication, and other public utilities",624,140,226,258,60532,56015
Services,300,111,59,122,19101,15919
