Category,Amount (dollars)
Personnel compensation,14599652
Personnel benefits,1070940
Travel and transportation of persons,1146136
Transportation of things,63224
Communication services,543979
Rents and utility services,29684
Printing and reproduction,357567
Other services,676609
Supplies and materials,228727
Equipment,155941
Insurance claims and indemnities,311
"Subtotal, obligations and expenditures",18872770
"Transferred to Operating Expenses, Public Buildings Service (Rent)",846401
Total Agency,19719171
