Case stage / type,Total,AFL-CIO affiliates,Unaffiliated unions,Individuals,Employers
[SECTION DIVIDER — All cases],,,,,
"Pending July 1, 1961",6883,2664,1341,2003,875
Received fiscal 1962,24848,10325,5267,6206,3050
On docket fiscal 1962,31731,12989,6608,8209,3925
Closed fiscal 1962,25027,10020,5435,6573,2999
"Pending June 30, 1962",6704,2969,1173,1636,926
[SECTION DIVIDER — Unfair labor practice cases],,,,,
"Pending July 1, 1961",4464,1358,571,1856,679
Received fiscal 1962,13479,4289,1608,5416,2166
On docket fiscal 1962,17943,5647,2179,7272,2845
Closed fiscal 1962,13319,3915,1589,5737,2078
"Pending June 30, 1962",4624,1732,590,1535,767
[SECTION DIVIDER — Representation cases],,,,,
"Pending July 1, 1961",2408,1306,770,136,196
Received fiscal 1962,11286,6036,3659,707,884
On docket fiscal 1962,13694,7342,4429,843,1080
Closed fiscal 1962,11634,6105,3846,762,921
"Pending June 30, 1962",2060,1237,583,81,159
[SECTION DIVIDER — Union-shop deauthorization cases],,,,,
"Pending July 1, 1961",11,,,11,
Received fiscal 1962,83,,,83,
On docket fiscal 1962,94,,,94,
Closed fiscal 1962,74,,,74,
"Pending June 30, 1962",20,,,20,
