Division and State,All cases,Unfair labor practice cases — All C cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Unfair labor practice cases — CE,Unfair labor practice cases — CP,Representation cases — All R cases,Representation cases — RC,Representation cases — RM,Representation cases — RD
Total,24765,13479,9233,2389,1076,319,50,404,11286,9704,884,698
New England — total,1101,519,499,60,42,12,1,5,582,529,40,13
Middle Atlantic — total,5533,3310,1989,796,271,106,12,136,2223,1919,186,118
East North Central — total,5107,3108,2329,586,138,34,7,65,2791,2411,182,203
West North Central — total,1679,722,535,88,49,13,3,34,957,834,62,61
South Atlantic — total,2610,1554,1163,202,143,22,5,19,1056,954,60,42
East South Central — total,1231,741,527,133,70,18,1,12,490,446,25,19
West South Central — total,1578,874,631,135,71,18,0,19,704,612,40,52
Mountain — total,1120,610,447,66,54,22,1,20,510,428,40,42
Pacific — total,3272,1715,1005,346,222,49,13,80,1557,1188,247,122
Outlying areas — total,704,288,215,51,11,1,1,11,416,392,17,7
