Object class,Amount
Personnel compensation,16428913
Personnel benefits,1197127
Travel and transportation of persons,1233100
Transportation of things,40560
Communication services,596926
Rents and utility services,36890
Printing and reproduction,404436
Other services,610007
Supplies and materials,215429
Equipment,149236
Insurance claims and indemnities,117
"Subtotal, obligations and expenditures",20912741
"Transferred to Operating Expenses, Public Buildings Service (Rent)",63481
Total Agency,20976222
