Stage,ULP Total,ULP AFL-CIO,ULP Unaffil,ULP Individuals,ULP Employers,Rep Total,Rep AFL-CIO,Rep Unaffil,Rep Individuals,Rep Employers
"CA / RC — Pending July 1, 1962",3276,1665,569,1017,25,1822,1228,588,2,4
CA / RC — Received fiscal 1963,9408,4553,1581,3393,23,9562,6238,3164,39,121
CA / RC — On docket fiscal 1963,12826,6238,2150,4410,28,11384,7514,4145,41,14
CA / RC — Closed fiscal 1963,9173,4310,1533,3311,19,9480,6219,3629,,
"CA / RC — Pending June 30, 1963",3653,1928,617,1099,9,1904,1295,606,,
"CB / RM — Pending July 1, 1962",738,37,20,489,192,159,,,,159
CB / RM — Received fiscal 1963,2753,79,53,2053,568,868,3,2,5,858
CB / RM — On docket fiscal 1963,3491,116,73,2542,760,1027,,,,1017
CB / RM — Closed fiscal 1963,2548,74,47,1868,559,849,,,,849
"CB / RM — Pending June 30, 1963",943,42,26,674,201,178,,,,178
"CC / RD — Pending July 1, 1962",347,3,2,19,323,79,0,0,79,0
CC / RD — Received fiscal 1963,1142,14,20,26,1082,656,0,0,655,1
CC / RD — On docket fiscal 1963,1489,17,22,45,1405,735,0,0,734,1
CC / RD — Closed fiscal 1963,1132,12,16,30,1074,611,0,0,610,1
"CC / RD — Pending June 30, 1963",357,5,6,15,340,124,0,0,124,0
