Formal action taken,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA cases,Unfair labor practice cases / Other C cases,Unfair labor practice cases / 10(k) C cases,Representation cases
Complaints issued,2043,2043,1545,498,,
Notices of hearing issued,5754,55,,,55,5699
Cases heard,3573,1155,860,251,44,2418
Intermediate reports issued,1085,1085,879,206,,
"Decisions issued, total",3964,1242,887,295,60,2722
Decisions and orders,1067,1067,780,227,60,
Decisions and consents,175,175,107,68,,
Elections directed by regional director,1944,,,,,1944
Dismissals on record by regional director,218,,,,,218
Elections directed by Board,137,,,,,137
Dismissals on record by Board,57,,,,,57
Board decisions after granting review of regional directors' decisions,64,,,,,64
Board decisions after granting review of regional directors' decision on objections and/or challenges,25,,,,,25
Board rulings on objections and/or challenges in stipulated election cases,277,,,,,277
