Stage and method of disposition,All C cases Number,All C cases Percent,CA cases Number,CA cases Percent,CB cases Number,CB cases Percent,CC cases Number,CC cases Percent,CD cases Number,CD cases Percent,CE cases Number,CE cases Percent,CP cases Number,CP cases Percent
Total number of cases closed,13605,100.0,9173,100.0,2548,100.0,1132,100.0,325,100.0,55,100.0,372,100.0
Before issuance of complaint,11714,86.1,7758,84.5,2315,90.9,950,84.8,314,96.7,47,85.5,310,83.3
Adjusted (pre-complaint),2401,17.6,1591,17.3,393,15.4,320,28.2,28,8.6,25,45.5,44,11.8
Compliance with stipulated decision (pre-complaint),1259,9.3,1058,11.5,113,4.4,60,5.3,12,3.7,12,21.8,4,1.1
Withdrawn (pre-complaint),4259,31.3,3109,33.9,663,26.0,400,35.3,71,21.8,4,7.3,12,3.2
Dismissed (pre-complaint),3795,27.9,2738,29.8,723,28.4,268,23.7,229,70.5,2,3.6,17,4.6
"After issuance of complaint, before opening of hearing",801,5.9,569,6.2,108,4.2,91,8.0,6,1.8,6,10.9,21,5.6
"After hearing opened, before issuance of intermediate reports",141,1.0,102,1.1,22,0.9,11,1.0,1,0.3,0,0,5,1.3
"After intermediate report, before issuance of Board decision",103,0.8,83,0.9,19,0.7,5,0.4,0,0,0,0,4,1.1
After Board decision adopting intermediate report in absence of exceptions,65,0.5,47,0.5,16,0.6,1,0.1,1,0.3,0,0,0,0
