Status,Total,Identification of filing party / AFL-CIO affiliates,Identification of filing party / Teamsters,Identification of filing party / Other national unions,Identification of filing party / Unaffiliated local unions,Identification of filing party / Individuals,Identification of filing party / Employers
"All cases — Pending July 1, 1963",7397,3286,824,274,161,1917,935
All cases — Received fiscal 1964,27403,11289,4294,1045,598,6643,3534
All cases — On docket fiscal 1964,34800,14575,5118,1319,759,8560,4469
All cases — Closed fiscal 1964,26715,10962,4125,1011,557,6694,3366
"All cases — Pending June 30, 1964",8085,3613,993,308,202,1866,1103
"Unfair labor practice cases — Pending July 1, 1963",5185,1990,417,145,88,1791,754
Unfair labor practice cases — Received fiscal 1964,15620,5243,1314,396,256,5865,2546
Unfair labor practice cases — On docket fiscal 1964,20805,7233,1731,541,344,7656,3300
Unfair labor practice cases — Closed fiscal 1964,15074,4900,1239,367,224,5917,2427
"Unfair labor practice cases — Pending June 30, 1964",5731,2333,492,174,120,1739,873
"Representation cases — Pending July 1, 1963",2195,1296,407,129,73,109,181
Representation cases — Received fiscal 1964,11685,6046,2980,649,342,680,988
Representation cases — On docket fiscal 1964,13880,7342,3387,778,415,789,1169
Representation cases — Closed fiscal 1964,11546,6062,2886,644,333,682,939
"Representation cases — Pending June 30, 1964",2334,1280,501,134,82,107,230
"Union-shop deauthorization cases — Pending July 1, 1963",17,,,,,17,
Union-shop deauthorization cases — Received fiscal 1964,98,,,,,98,
Union-shop deauthorization cases — On docket fiscal 1964,115,,,,,115,
Union-shop deauthorization cases — Closed fiscal 1964,95,,,,,95,
"Union-shop deauthorization cases — Pending June 30, 1964",20,,,,,20,
