row_label,Action taken,Total all,Remedial action taken by Employer / Total,Remedial action taken by Employer / Agreement of parties,Remedial action taken by Employer / Recommendation of trial examiner,Remedial action taken by Employer / Order of Board or court,Remedial action taken by Union / Total,Remedial action taken by Union / Agreement of parties,Remedial action taken by Union / Recommendation of trial examiner,Remedial action taken by Union / Order of Board or court
A. By number of cases involved,4202,,,,,,,,,
Notice posted,2680,2018,1464,84,470,662,509,19,134,
Recognition of/or other assistance withdrawn,113,112,,,,1,,,,
Remaining Panel A action-type rows (Employer-dominated union disestablished / Employees offered reinstatement / Employees placed on preferential hiring list / Hiring hall rights restored / Objections to compelled withdrawal / Picketing ended / Work stoppage ended / Collective bargaining begun / Backpay distributed / Reimbursement of fees dues and assessments / Other conditions of employment improved / Other remedies),,,,,,,,,,
"B. By number of employees affected — Employees offered reinstatement, total",4044,4044,2831,77,1136,,,,,
B. Accepted,3004,3004,2242,81,681,,,,,
B. Declined,1040,1040,402,35,453,,,,,
B. Employees placed on preferential hiring list,568,568,525,6,37,,,,,
B. Employees reimbursed for back pay,,,,,,,,,,
"C. Amounts of monetary recovery, total",3037189,2949480,1060759,70110,1828610,87700,41090,2360,43350,
