Participating unions,Elections won by unions / Total elections,Elections won by unions / Percent won,Elections won by unions / Total won,Elections won by unions / AFL-CIO affiliates,Elections won by unions / Teamsters,Elections won by unions / Other national unions,Elections won by unions / Unaffiliated unions,Elections won by unions / Local unaffiliated unions,Elections where / (Single col),Employees eligible to vote / Total,Employees eligible to vote / In elections won,Employees eligible to vote / In units won by AFL-CIO,Employees eligible to vote / Teamsters,Employees eligible to vote / Other national unions,Employees eligible to vote / Unaffiliated unions,Employees eligible to vote / Local unaff / Elections where
Total RC elections,6940,58.5,4062,2538,1077,286,161,,2878,157661,278077,199308,32906,24123,21553,239584
1-union elections (subtotal),6101,55.2,3369,2170,924,194,81,,2732,370410,147477,112842,20369,7007,2708,222933
1-union: AFL-CIO,3948,55.0,2170,2170,,,,,1778,,,112842,,,,174790
1-union: Teamsters,1707,54.1,924,,924,,,,783,,,,20369,,,26120
1-union: Other national unions,327,,194,,,194,,,138,,,,,7007,,
1-union: Local unaffiliated unions,119,,81,,,,,81,33,,,,,,2708,
2-union elections (subtotal),796,82.5,657,348,146,87,,,139,113660,,,,,,
2-union,,,,,,,,,,,,,,,,
3 (or more)-union elections (subtotal),43,83.7,36,20,7,4,,,7,,33591,,,,,
3-or-more union,,,,,,,,,,,,,,,,
