Participating unions,Total elections,Percent won,Total won,AFL-CIO,Teamsters,Other Nat'l,Unaff Nat'l,Local unaff,col_9,Total eligible,In elections won,In units won AFL-CIO,Teamsters,Other Nat'l,Unaff/Local,col_16
C. ELECTIONS IN RM CASES — Total RM elections,369,42.3,157,95,56,8,5,,202,20388,8820,5180,1125,1923,584,11538
C: 1-union elections (RM),348,42.5,148,83,53,7,5,,200,18255,6604,4060,932,925,249,11651
C: 1-union AFL-CIO (RM) + Teamsters + Other Nat'l + Local unaff,,,,,,,,,,,,,,,,
C: 2-union elections (RM),21,90.5,19,12,3,1,,,2,2103,2024,,,173,1000,335
C: 2-union,,,,,,,,,,,,,,,,
D. ELECTIONS IN RD CASES — Total RD elections,220,30.5,67,52,13,,8,,153,13742,8333,6637,1533,,173,5209
D: 1-union elections (RD),210,26.4,58,47,10,,8,,152,11030,6218,5943,280,,45,5382
D: 1-union AFL-CIO/Teamsters/Other Nat'l/Local unaff,,,,,,,,,,,,,,,,
D: 2-union elections (RD),9,88.9,8,5,3,,,,1,,962,945,604,,,
D: 3-or-more union elections (RD),1,100.0,1,,,,,,,,1120,1120,1120,,,
