row_label,Allegations involved in injunctions sought,Total proceedings,"Injunction proceedings: Pending on district courts July 1, 1963",Injunction proceedings: Filed on district courts fiscal year 1964,Total dispositions,Disposition of injunctions: Granted,Disposition of injunctions: Denied,Disposition of injunctions: Settled,Disposition of injunctions: Withdrawn,Disposition of injunctions: Dismissed,Disposition of injunctions: Inactive,"Pending on district courts June 30, 1964"
Under sec. 10(e),0,0,0,0,0,0,0,0,0,0,0,0
"Under sec. 10(j), total",18,0,18,15,7,2,4,1,1,0,,3
10(j) sub-allegations: 8(a)(1) 2/0/2/2/0/1/1/0/0/0/0; 8(a)(2) 3/0/3/3/1/0/1/1/0/0/0; 8(a)(3) 11/0/11/8/5/1/1/1/0/0/3; 8(a)(5) 1/0/1/1/1/0/0/0/0/0/0; 8(b)(1)(A) 0; 8(b)(1)(B) 1/0/1/1/0/0/1/0/0/0/0,,,,,,,,,,,,
"Under sec. 10(l), total",202,10,252,252,80,13,64,12,4,79,,10
10(l): 8(b)(4)(A),6,0,6,6,1,3,2,0,0,0,,0
10(l): 8(b)(4)(B),110,4,115,112,32,3,24,4,1,49,,7
10(l): 8(b)(4)(C),33,1,32,30,14,2,12,1,0,1,,3
10(l): 8(b)(4)(D),12,1,9,12,6,1,4,0,1,0,,0
10(l): 8(b)(6),4,0,4,3,0,1,2,0,0,0,,0
10(l): 8(b)(7) sub-allegations (7)(A) 2/0/2/2/1/0/0/0/0/0/0; (7)(B) 20/0/20/20/10/1/7/1/0/1/0; (7)(C) 1/0/1/1/0/0/0/0/0/1/0,,,,,,,,,,,,
10(l): 8(e) (hot-cargo),18,0,17,18,4,1,6,5,1,1,,0
"10(l): Multi-allegation combinations (8(b)(4)(B) and 8(e); 8(b)(4)(B) and 8(b)(7)(C); 8(b)(4)(C) and (7)(A)/(7)(B)/(7)(C)/(8)(e); 8(b)(4)(B), (7)(C), and 8(e); 8(b)(7)(C) and (8)(e))",,,,,,,,,,,,
