Type of litigation,Number of proceedings: Total all courts / Number decided,Number of proceedings: Total all courts / Court determination: Upholding Board position,Number of proceedings: Total all courts / Court determination: Contrary to Board position,Number of proceedings: In courts of appeals / Number decided,Number of proceedings: In courts of appeals / Court determination: Upholding Board position,Number of proceedings: In courts of appeals / Court determination: Contrary to Board position,Number of proceedings: In district courts / Number decided,Number of proceedings: In district courts / Court determination: Upholding Board position,Number of proceedings: In district courts / Court determination: Contrary to Board position
Total — all types,41,38,3,19,17,2,22,21,1
NLRB-initiated actions,4,3,1,3,2,1,1,1,0
To enforce subpoena,2,2,0,2,2,0,0,0,0
To restrain dissipation of assets by respondent,1,0,1,0,0,0,1,0,1
To defend Board's jurisdiction,1,1,0,1,0,1,0,0,0
Other,,,,,,,,,
Action by other parties,37,35,2,16,15,1,21,20,1
To restrain NLRB,31,30,1,13,13,0,18,17,1
Proceeding in R-case,26,26,0,10,10,0,16,16,0
Proceeding in unfair labor practice case,4,3,1,3,3,0,1,0,1
Proceeding in backpay case,1,1,0,0,0,0,1,1,0
Other,,,,,,,,,
To compel NLRB,6,5,1,3,2,1,3,3,0
Issue complaint,3,3,0,1,1,0,2,2,0
Seek injunction,,,,,,,,,
Take action in R-case,3,2,1,2,1,1,1,1,0
Other,,,,,,,,,
