row_label,Total 1,Identification of filing party / AFL-CIO unions,Identification of filing party / Teamsters,Identification of filing party / Other national unions,Identification of filing party / Other local unions,Identification of filing party / Individuals,Identification of filing party / Employers
"RC cases — Pending July 1, 1964",1997,1277,501,134,81,4,
RC — Received fiscal 1965,10255,6298,2832,683,434,8,
RC — On docket fiscal 1965,12252,7575,3333,817,515,12,
RC — Closed fiscal 1965,10082,6219,2807,685,360,11,
"RC — Pending June 30, 1965",2170,1356,526,132,155,1,
"RM cases — Pending July 1, 1964",230,,,,,,230
RM — Received fiscal 1965,1141,,,,,,1141
RM — On docket fiscal 1965,1371,,,,,,1371
RM — Closed fiscal 1965,1116,,,,,,1116
"RM — Pending June 30, 1965",255,,,,,,255
"RD cases — Pending July 1, 1964",107,3,0,0,1,103,
RD — Received fiscal 1965,593,4,0,0,1,588,
RD — On docket fiscal 1965,700,7,0,0,2,691,
RD — Closed fiscal 1965,599,6,0,0,1,592,
"RD — Pending June 30, 1965",101,1,0,0,1,99,
