Subsection,Number of cases showing specific allegations,Percent of total cases
A. CHARGES FILED AGAINST EMPLOYERS UNDER SEC. 8(a) — Subsections of Sec 8(a) Total cases 8(a) 1,10931,100.0
8(a)(1),881,8.1
8(a)(2),224,2.0
8(a)(3),5531,50 6
"8(a)(3) sub-subsection rows (8(a)(3)(1), 8(a)(3)(2)A through 8(a)(3)(4), 8(a)(3)(5)A/B, 8(a)(3)(2)(C) etc.)",,
8(a)(4),78,0.7
8(a)(5),3815,34 9
A. 1 — 8(a)(1) 2,10931,100.0
A. 8(a)(2),660,6.1
A. 8(a)(3),7367,67.4
A. 8(a)(4),284,2.6
A. 8(a)(5),3815,34.9
B. CHARGES FILED AGAINST UNIONS UNDER SEC. 8(b) — Subsections of Sec 8(b) Total cases,4813,100.0
8(b)(1),808,16 8
8(b)(2),131,2.7
8(b)(3),238,4.9
8(b)(4),1717,35 7
8(b)(5),10,0.2
8(b)(6),11,0.2
8(b)(7),393,8.2
B. 1 — 8(b)(1),3305,47.9
B. 8(b)(2),1515,31.5
B. 8(b)(3),437,9.1
B. 8(b)(4),1717,35.7
B. 8(b)(5),10,.2
B. 8(b)(6),24,.5
B. 8(b)(7),393,8.2
B1. ANALYSIS OF 8(b)(4) — Total cases 8(b)(4),1717,100.0
8(b)(4)(A),72,4.2
8(b)(4)(B),1015,59.1
8(b)(4)(C),19,1.1
8(b)(4)(D),461,26.5
8(b)(4)(A)(B),137,8.0
8(b)(4)(A)(C),10,.6
8(b)(4)(B)(C),3,.2
B1. 1 — 8(b)(4)(A),212,12.3
B1. 8(b)(4)(B),1165,67.9
B1. 8(b)(4)(C),32,1.9
B1. 8(b)(4)(D),461,26.8
B2. ANALYSIS OF 8(b)(7) — Total cases 8(b)(7) 1,393,100.0
8(b)(7)(A),113,28.8
8(b)(7)(B),23,5.9
8(b)(7)(C),248,63.1
8(b)(7)(A)(B),3,0.8
8(b)(7)(A)(C),4,1.0
8(b)(7)(B)(C),1,.2
8(b)(7)(A)(B)(C),1,.2
B2. 1 — 8(b)(7)(A),121,30.8
B2. 8(b)(7)(B),27,6.9
B2. 8(b)(7)(C),254,64.6
C. CHARGES FILED UNDER SEC. 8(e) — Total cases 8(e),56,100.0
Against unions alone,48,85 7
Against employers alone,0,
Against union and employers,8,14.3
