Type of formal action taken,Cases in which formal actions taken,Formal actions taken by type of case / Total formal actions taken,Formal actions taken by type of case / RC,Formal actions taken by type of case / RM,Formal actions taken by type of case / RD,Formal actions taken by type of case / UD
"Hearings completed, total",2335,2041,1866,94,81,0
Initial hearings,2246,1952,1780,92,80,0
Hearings on objections and/or challenges,89,89,86,2,1,0
"Decisions issued, total",2168,1931,1764,88,79,0
By regional director,1865,1749,1605,74,70,0
Elections directed,1698,1605,1483,68,54,0
Dismissals on record,167,144,122,6,16,0
By Board,303,182,159,14,9,0
After transfer by regional director for initial decision,242,123,106,11,6,0
Elections directed (after transfer),137,73,66,7,0,0
Dismissals on record (after transfer),105,50,40,4,6,0
After review of regional director's decision,61,59,53,3,3,0
Elections directed (after review),49,49,44,2,3,0
Dismissals on record (after review),12,10,9,1,0,0
"Decisions on objections and/or challenges, total",803,776,737,27,12,0
By regional director (objections/challenges),369,345,326,10,9,0
By Board (objections/challenges),434,431,411,17,3,0
In stipulated elections,388,386,366,17,3,0
No exceptions to regional director's report,254,252,238,13,1,0
Exceptions to regional director's report,134,134,128,4,2,0
In directed elections (after transfer by regional director),22,21,21,0,0,0
In directed elections after review of regional director's supplemental decision,24,24,24,0,0,0
