Industrial group,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CP,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union deauthorization cases / UD,Amendment of certification cases / AC,Unit clarification cases / UC
Mining (subtotal),316,191,125,27,27,2,1,0,9,126,104,5,17,0,0
"Mining sub-industries (Metal mining, Coal mining, Crude petroleum and natural gas, Nonmetallic mining and quarrying)",,,,,,,,,,,,,,,
Construction,2827,2414,737,658,631,262,16,110,408,393,6,9,,5,
Wholesale and retail trade (subtotal),3103,1555,1244,273,6,13,11,8,1533,1092,175,60,7,5,3
"Wholesale/retail sub-industries (Wholesale trade 2,307/962/...; Retail trade 3,103/...)",,,,,,,,,,,,,,,
"Finance, insurance, and real estate",232,116,100,6,4,5,1,,105,93,7,5,,4,
"Transportation, communication, and other public utilities (subtotal)",3253,2001,1341,600,124,35,6,26,1238,1001,163,66,5,6,13
"Transportation sub-industries (Local & suburban transp / Motor freight, warehousing / Water transp / Other transp / Communications / Heat, light, power, water, and sanitary services)",,,,,,,,,,,,,,,
Services (subtotal),1509,1022,710,203,51,24,2,32,775,690,54,31,,7,
"Services sub-industries (Hotel & other lodging places; Personal services; Automobile repair, garages, etc.; Motion pictures & other amusement; Medical & other health; Legal services; Educational services; Museums, art galleries, botanical zoological; Nonprofit membership organizations; Miscellaneous services)",,,,,,,,,,,,,,,
