Division and State 1,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CP,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union deauthorization cases / UD,Amendment of certification cases / AC,Unit clarification cases / UC
"Total, all States and areas",28025,15800,10931,2703,1256,461,56,393,11989,10255,1141,593,100,45,85
New England (division subtotal),1277,614,445,90,41,15,5,18,631,583,46,20,2,4,6
"New England states (Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut)",,,,,,,,,,,,,,,
Middle Atlantic (division subtotal),5789,3488,2747,712,260,139,9,131,2248,1975,237,36,20,9,24
"Middle Atlantic states (New York 3,007/1,901/...; New Jersey 1,366/690/...; Pennsylvania 1,416/897/...)",,,,,,,,,,,,,,,
East North Central (division subtotal),6108,3379,2345,619,246,112,5,52,2666,2290,220,170,21,11,18
"East North Central states (Ohio, Indiana, Illinois, Michigan, Wisconsin)",,,,,,,,,,,,,,,
West North Central (division subtotal),2051,983,681,135,101,42,0,1,1058,940,84,41,5,3,2
"West North Central states (Iowa, Minnesota, Missouri, North Dakota, South Dakota, Nebraska, Kansas)",,,,,,,,,,,,,,,
South Atlantic (division subtotal),3194,,,,,,,,1448,1294,,,,,
South Atlantic states partial (Delaware 60/25/...; Maryland 463/212/...),,,,,,,,,,,,,,,
