row_label,Method and stage of disposition,All C cases / Number,All C cases / Percent of total closed,CA cases / Number,CA cases / Percent of total closed,CB cases / Number,CB cases / Percent of total closed,CC cases / Number,CC cases / Percent of total closed,CD cases / Number,CD cases / Percent of total closed,CE cases / Number,CE cases / Percent of total closed,CP cases / Number,CP cases / Percent of total closed
Total number of cases closed,15219,100.0,10360,100.0,2659,100.0,1253,100.0,465,100.0,69,100.0,413,100.0,
Agreement of the parties,3629,23.8,2600,25.1,416,15.6,473,37.7,4,.9,23,33.2,114,27.6,
Informal settlement,3474,22.8,2500,24.1,388,16.0,442,35.3,3,.7,22,31.8,109,26.4,
Informal settlement,,,,,,,,,,,,,,,
Formal settlement,155,1.0,100,1.0,,,,,,,,,,,
Formal settlement,,,,,,,,,,,,,,,
Compliance with,898,5.9,700,6.8,95,3.6,72,5.7,12,2.6,6,8.8,13,3.2,
Compliance with: Trial examiner decision,182,1.2,135,1.3,18,.7,16,1.3,3,.6,5,7.2,5,1.2,
Compliance with: Board decision,,,,,,,,,,,,,,,
Circuit court of appeals decree,,,,,,,,,,,,,,,
Supreme Court decree,42,.3,30,.3,7,.3,,,,,,,,,
Withdrawal,5660,37.2,3899,37.6,1128,42.4,446,35.6,,,19,27.5,,,
