Participating unions,Elections won by unions Total elections,Elections won by unions Percent won,Elections won by unions Total won,Elections won by unions AFL-CIO,Elections won by unions Teamsters,Elections won by unions Other national,Elections won by unions Other local,Elections in which,Employees eligible to vote Total,Employees eligible to vote In elections won by unions Total,Employees eligible to vote In units won by AFL-CIO,Employees eligible to vote In units won by Teamsters,Employees eligible to vote In units won by Other national,Employees eligible to vote In units won by Other local,Employees in elections in which
Total RC elections,7176,61.8,4435,2861,1111,299,164,2741,512159,316415,210453,33738,40855,31679,196684
1-union elections (subtotal),6340,58.9,3738,2470,972,211,76,2605,347710,167238,137783,19914,6673,2866,180477
1-union: AFL-CIO,4182,59.2,2470,2470,,,,1706,,137783,137783,,,,146386
1-union: Teamsters,1718,56.7,972,,972,,,746,,19914,,19914,,,25099
1-union: Other national unions,245,,211,,,211,,134,,,,,6673,,7400
1-union: Other local unions,195,,76,,,,76,19,,,,,,2866,1492
2-union elections (subtotal),794,82.4,664,363,124,79,85,128,134977,119749,59604,13109,8372,14089,15228
2-union,,,,,,,,,,,,,,,
3 (or more)-union elections (subtotal),42,92.9,33,14,5,8,4,13,29737,29030,13166,,1308,14184,404
3-or-more union,,,,,,,,,,,,,,,
