Type of proceeding,Fiscal year 1965 / Number of proceedings / Total,Fiscal year 1965 / Number of proceedings / Vs. employers only,Fiscal year 1965 / Number of proceedings / Vs. unions only,Fiscal year 1965 / Number of proceedings / Vs. both employers and unions,Fiscal year 1965 / Number of proceedings / Board dismissal,Fiscal year 1965 / Percentages / Vs. employers only,Fiscal year 1965 / Percentages / Vs. unions only,Fiscal year 1965 / Percentages / Vs. both employers and unions,Fiscal year 1965 / Percentages / Board dismissal,"July 5, 1935-June 30, 1965 / Number","July 5, 1935-June 30, 1965 / Percent"
Proceedings decided by U.S. courts of appeals,222,171,30,6,15,,,,,2931,100.0
On petitions for review and/or enforcement,212,162,29,6,15,100.0,100.0,100.0,100.0,,
Board orders affirmed in full,122,97,24,1,,59.9,82.8,16.7,,1651,57.4
Board orders affirmed with modification,47,42,2,2,1,25.9,6.9,33.3,6.7,595,20.7
Remanded to Board,7,3,2,2,,1.9,6.9,33.3,,131,4.6
Board orders partially affirmed and partially set aside,,,,,,,,,,,
Board orders set aside,36,30,1,1,,18.5,6.9,33.3,6.7,513,17.5
On petitions for contempt,10,9,1,,,,,,,,
"Compliance secured after filing of petition, before court action",7,7,,,,77.8,,,,,
Court orders holding respondent in contempt,1,1,,,,11.1,,100.0,,,
Court orders denying petition,1,1,,,,,,,,,
Proceedings decided by U.S. Supreme Court,7,7,,,,100.0,,,,150,100.0
Supreme Court breakdown,,,,,,,,,,,
