Section/subsection,Number of cases showing specific allegations,Percent of total cases
A. CHARGES FILED AGAINST EMPLOYERS UNDER SEC. 8(a) — section header,,
Subsections of Sec. 8(a): Total cases,10902,100.0
8(a),,
8(a) — Total cases,10902,100.0
8(a)(1),10902,100.0
8(a)(2),748,6.9
8(a)(3),7203,66.1
8(a)(4),305,2.8
8(a)(5),3818,35.0
B. CHARGES FILED AGAINST UNIONS UNDER SEC. 8(b) — section header,,
Subsections of Sec. 8(b): Total cases,4941,100.0
8(b),,
B1. ANALYSIS OF 8(b)(4) — Total cases,1692,100.0
8(b)(4) subsection breakdown,,
B2. ANALYSIS OF 8(b)(7) — Total cases,380,100.0
8(b)(7) subsection breakdown,,
C. CHARGES FILED UNDER SEC. 8(e) — section header,,
Total cases under Sec. 8(e),90,100.0
Against unions alone,73,81.1
Against employers alone,,
Against union and employers,17,18.9
