Division and State,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CP,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union deauthorization cases / UD,Amendment of certification cases / AC,Unit clarification cases / UC
South Atlantic,3147,1820,1337,232,172,31,15,33,1303,1166,79,58,5,6,12
SA state,,,,,,,,,,,,,,,
East South Central,1584,871,623,139,55,30,5,40,709,603,51,23,8,1,5
ESC state,,,,,,,,,,,,,,,
West South Central,2453,1369,1042,196,72,63,2,14,1047,933,59,55,1,23,13
WSC state,,,,,,,,,,,,,,,
Mountain,1425,814,508,97,61,39,3,16,580,470,71,39,5,7,19
Mountain state,,,,,,,,,,,,,,,
Pacific,4541,2453,1459,514,274,79,19,77,2027,1595,312,120,31,7,24
Pacific state,,,,,,,,,,,,,,,
Outlying Areas,478,153,124,34,11,9,3,2,253,244,13,6,10,1,
Outlying Areas,,,,,,,,,,,,,,,
