Type of proceeding,Fiscal year 1966 / Number of proceedings / Total,Fiscal year 1966 / Number of proceedings / Vs employers only,Fiscal year 1966 / Number of proceedings / Vs unions only,Fiscal year 1966 / Number of proceedings / Vs both employers and unions,Fiscal year 1966 / Number of proceedings / Board dismissal,Fiscal year 1966 / Percentages / Vs employers only,Fiscal year 1966 / Percentages / Vs unions only,Fiscal year 1966 / Percentages / Vs both employers and unions,Fiscal year 1966 / Percentages / Board dismissal,"July 5, 1935-June 30, 1966 / Number","July 5, 1935-June 30, 1966 / Percent"
Proceedings decided by U.S. courts of appeals,247,197,27,5,18,,,,,3162,100.0
On petitions for review and/or enforcement,236,182,26,5,18,100.0,100.0,100.0,100.0,,
Board orders affirmed in full,134,99,23,3,9,54.4,88.5,60.0,50.0,1815,57.4
Board orders affirmed with modification,46,38,2,0,6,20.9,7.7,0,33.3,634,20.1
Remanded to Board,12,7,0,1,4,3.8,0,20.0,22.2,143,4.5
Board orders partially affirmed and partially set aside,7,7,0,0,,,,,,,
Board orders set aside,37,33,1,0,0,18.1,3.8,0,11.1,550,17.4
On petitions for contempt,16,15,1,0,0,,,,,,
"Compliance after filing of petition, before court action",,,,,,20.7,,,,,
Court orders holding respondent in contempt,,,,,,,,100.0,,,
Court orders denying petition,,,,,,,,,,,
Proceedings decided by U.S. Supreme Court,8,6,0,1,0,100.0,,,,160,
Supreme Court breakdown,,,,,,,,,,,
