Stage of movement,Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Individuals,Employers
"RC Cases — Pending July 1, 1966",2303,1516,535,160,91,1,0
RC Cases — Received fiscal 1967,11193,6772,3247,573,582,19,0
RC Cases — On docket fiscal 1967,13496,8288,3782,733,673,20,0
RC Cases — Closed fiscal 1967,10950,6575,3189,596,574,16,0
"RC Cases — Pending June 30, 1967",2546,1713,593,137,99,4,0
"RM Cases — Pending July 1, 1966",244,0,0,0,0,0,244
RM Cases — Received fiscal 1967,1140,0,0,0,0,0,1140
RM Cases — Closed fiscal 1967,1162,0,0,0,0,0,1162
"RM Cases — Pending June 30, 1967",222,0,0,0,0,0,222
"RD Cases — Pending July 1, 1966",112,0,0,0,0,112,0
RD Cases — Received fiscal 1967,624,4,4,4,1,611,0
RD Cases — On docket fiscal 1967,736,4,4,4,1,727,0
RD Cases — Closed fiscal 1967,612,4,3,1,0,604,0
"RD Cases — Pending June 30, 1967",124,0,1,3,1,119,0
