Section of the Act,Number of cases showing specific allegations,Percent of total cases
A. CHARGES FILED AGAINST EMPLOYERS UNDER SEC 8(a) — section subheader,,
8(a) Total cases (subsections combined),11259,100.0
8(a)(1) only,921,8.2
8(a)(1)(2),313,2.8
8(a)(1)(3),5718,50.8
8(a)(1)(4),30,0.3
8(a)(1)(3)(4),2456,21.8
8(a)(1)(3)(5),1159,10.3
8(a) (allegation counts; subsection-by-subsection),,
8(a)(1),11259,100.0
8(a)(2),738,6.6
8(a)(3),7463,66.3
8(a)(4),286,2.5
8(a)(5),3819,33.9
B. CHARGES FILED AGAINST UNIONS UNDER SEC 8(b) — section subheader,,
8(b) Total cases (subsections combined),5747,100.0
8(b) (allegation counts),,
8(b)(1),2971,51.7
8(b)(2),1681,29.3
8(b)(3),461,8.0
8(b)(4),1815,31.6
8(b)(5),19,0.3
8(b)(6),22,0.4
8(b)(7),528,9.2
B1. ANALYSIS OF 8(b)(4) — section subheader,,
8(b)(4) Total cases,1815,100.0
8(b)(4)(A) only,73,4.0
8(b)(4)(B) only,1131,62.3
8(b)(4)(C) only,33,1.8
8(b)(4)(D) only,486,26.8
8(b)(4),,
8(b)(4)(A),152,4.3
8(b)(4)(B),1223,67.4
8(b)(4)(C),47,2.6
8(b)(4)(D),487,26.8
B2. ANALYSIS OF 8(b)(7) — section subheader,,
8(b)(7) Total cases,528,100.0
8(b)(7)(A) only,100,18.9
8(b)(7)(B) only,34,6.4
8(b)(7)(C) only,373,70.7
8(b)(7),,
8(b)(7)(A),119,22.7
8(b)(7)(B),40,7.5
8(b)(7)(C),390,73.9
C. CHARGES FILED UNDER SEC 8(e) — section subheader,,
8(e) Total cases,34,100.0
Against unions alone,33,97.1
Against unions and employers,1,2.9
