Type of litigation,Total — all courts — Number decided,Total — all courts — Court determination — Upholding Board position,Total — all courts — Court determination — Contrary to Board position,In courts of appeals — Number decided,In courts of appeals — Court determination — Upholding Board position,In courts of appeals — Court determination — Contrary to Board position,In district courts — Number decided,In district courts — Court determination — Upholding Board position,In district courts — Court determination — Contrary to Board position
Totals — all types,25,25,0,9,9,0,16,16,0
NLRB-initiated actions,2,2,0,2,2,0,0,0,0
To enforce subpena,2,2,0,2,2,0,0,0,0
To restrain dissipation of assets by respondent,0,0,0,0,0,0,0,0,0
To defend Board personnel,0,0,0,0,0,0,0,0,0
Action by other parties,23,23,0,7,7,0,16,16,0
To restrain NLRB from,14,14,0,5,5,0,9,9,0
Proceeding in R case,8,8,0,3,3,0,5,5,0
Proceeding in unfair labor practice case,6,6,0,2,2,0,4,4,0
Proceeding in backpay case,0,0,0,0,0,0,0,0,0
Other (to restrain),0,0,0,0,0,0,0,0,0
To compel NLRB to,9,9,0,2,2,0,7,7,0
Issue complaint,4,4,0,0,0,0,4,4,0
Seek injunction,1,1,0,0,0,0,1,1,0
Take action in R case,4,4,0,2,2,0,2,2,0
Other (to compel),0,0,0,0,0,0,0,0,0
