Stage,Total,Identification of filing party / AFL-CIO unions,Identification of filing party / Teamsters,Identification of filing party / Other national unions,Identification of filing party / Other local unions,Identification of filing party / Individuals,Identification of filing party / Employers
All cases,,,,,,,
"Pending July 1, 1967 (All cases)",10331,4798,1271,343,427,2254,1238
Received fiscal 1968 (All cases),30705,12090,4523,1256,715,8105,4016
On docket fiscal 1968 (All cases),41036,16888,5794,1599,1142,10359,5254
Closed fiscal 1968 (All cases),30750,12117,4563,1279,831,7788,4172
"Pending June 30, 1968 (All cases)",10286,4771,1231,320,311,2571,1082
Unfair labor practice cases,,,,,,,
"Pending July 1, 1967 (ULP)",7338,3049,119,201,322,2077,1000
Received fiscal 1968 (ULP),17816,5625,1497,402,290,7160,2842
On docket fiscal 1968 (ULP),25154,8674,2160,603,612,9257,3842
Closed fiscal 1968 (ULP),17777,5559,1528,397,424,6872,2987
"Pending June 30, 1968 (ULP)",7377,3115,628,206,188,2385,855
Representation cases,,,,,,,
"Pending July 1, 1967 (Representation)",2892,1710,559,137,98,127,222
Received fiscal 1968 (Representation),12307,6186,3011,843,395,781,1091
On docket fiscal 1968 (Representation),15199,7896,3569,980,493,908,1313
Closed fiscal 1968 (Representation),12400,6292,3012,870,373,759,1103
"Pending June 30, 1968 (Representation)",2790,1604,597,110,120,149,210
Union-shop deauthorization cases,,,,,,,
"Pending July 1, 1967 (UD)",28,,,,,28,
Received fiscal 1968 (UD),152,,,,,152,
On docket fiscal 1968 (UD),180,,,,,180,
Closed fiscal 1968 (UD),143,,,,,143,
"Pending June 30, 1968 (UD)",37,,,,,37,
Amendment of certification cases,,,,,,,
"Pending July 1, 1967 (AC)",19,5,,1,2,8,3
Received fiscal 1968 (AC),194,171,4,9,,1,9
On docket fiscal 1968 (AC),213,180,5,2,13,1,12
Closed fiscal 1968 (AC),186,160,5,2,11,1,10
"Pending June 30, 1968 (AC)",27,16,,2,3,,2
Unit clarification cases,,,,,,,
"Pending July 1, 1967 (UC)",54,30,3,3,3,2,13
Received fiscal 1968 (UC),236,108,11,11,21,11,74
On docket fiscal 1968 (UC),290,138,14,14,24,13,87
Closed fiscal 1968 (UC),235,106,11,9,24,13,72
"Pending June 30, 1968 (UC)",55,32,3,5,,,15
