Subsection / category,Number of cases showing specific allegations,Percent of total cases
A. CHARGES FILED AGAINST EMPLOYERS UNDER SEC. 8(a),,
Subsections of Sec. 8(a): Total cases,11892,100.0
8(a)(1),800,6.7
8(a)(2),238,2.0
8(a)(3),6071,51.1
8(a)(4),33,0.3
8(a)(5),2609,21.9
8(a) multi-subsection combination rows — 8(a)(1)(2)/(1)(3)/(1)(4)/(1)(5)/(2)(3)/(2)(5)/(3)(4)/(3)(5)/(4)(5)/(1)(2)(3) and similar combinations,,
(Sec. 8(a)),,
8(a)(1),11892,100.0
8(a)(2),841,7.1
8(a)(3),8179,68.8
8(a)(4),460,3.9
8(a)(5),4097,34.5
B. CHARGES FILED AGAINST UNIONS UNDER SEC. 8(b),,
Subsections of Sec. 8(b): Total cases,5846,100.0
8(b)(1),1525,26.1
8(b)(2),147,2.5
8(b)(3),222,3.8
8(b)(4),1873,32.0
8(b)(5),7,0.1
8(b)(6),13,0.2
8(b)(7),416,7.1
8(b) multi-subsection combination rows — 8(b)(1)(2)/(1)(3)/(1)(5)/(2)(3)/(2)(5)/(2)(7)/(4)(7)/(1)(2)(3)/(1)(2)(5)/(1)(3)(5)/(1)(3)(7)/(2)(3)(5)/(1)(2)(3)(5),,
(Sec. 8(b)),,
8(b)(1),3158,54.0
8(b)(2),1625,27.8
8(b)(3),424,7.3
8(b)(4),1873,32.0
8(b)(5),25,0.4
8(b)(6),30,0.5
8(b)(7),416,7.1
B1 ANALYSIS OF 8(b)(4),,
Total cases 8(b)(4),1873,100.0
B1 8(b)(4) subsection rows (A/B/C/D + combinations A-B/B-C/B-D),,
8(b)(4)(A),122,6.5
8(b)(4)(B),1316,70.3
8(b)(4)(C),45,2.4
8(b)(4)(D),478,25.5
B2 ANALYSIS OF 8(b)(7),,
Total cases 8(b)(7),416,100.0
B2 8(b)(7) subsection rows (A/B/C + combinations A-B/B-C/A-C),,
8(b)(7)(A),111,26.7
8(b)(7)(B),33,7.9
8(b)(7)(C),284,68.3
C CHARGES FILED UNDER SEC. 8(e),,
Total cases 8(e),78,100.0
Against unions alone,51,65.4
Against employers alone,0,0.0
Against unions and employers,27,34.6
