row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
Total number of cases closed _ _,18939,100.0,,12404,100.0,3909,100.0,1505,100.0,545,100.0,98,100.0,478,100.0
Agreement of the parties,4453,23.5,100.0,2942,23.7,721,18.4,635,42.2,6,1.2,12,12.2,137,28.7
Informal settle- ment:,4242,22.4,95.3,2818,22 7,675,17.3,605,40 2,2,0.4,12,12.2,130,27.2
"Before issuance of complaint After issuance of complaint,",3187,16.8,71.6,1996,161,533,13.6,523,35.4,(2),,11,11.2,115,24.1
before open- ing of hear- ing After hearing,968,5.1,21.7,749,6.0,132,3.4,71,4.7,0,,1,1.0,15,3.1
aminer's decision,87,0.5,20,73,0.6,10,0.3,2,0.1,2,04,0,,0,_ - -
"Formal settlement _ After issuance of complaint, before open-",211,1.1,4.7,124,1.0,46,1.2,30,2.0,4,0.8,0,,7,1.5
ing of hear- ing,154,0.8,3.5,100,0.8,20,0.5,26,1.7,2,0.4,0,,6,1.3
Stipulated decision _ Consent,8,0.0,0.2,1,0.0,2,0.1,3,0.2,2,04,0,,0,
decree _ _,146,0.8,3.3,99,0.8,18,0.5,23,1.5,0,_ _ _,0,,6,1.3
After hearing opened,57,0.3,1.2,24,0.2,26,0.7,4,0.3,2,0 4,0,,1,0.2
Stipulated decision _ _ Consent,6,0.0,0.1,6,0.1,0,_ _ _,0,,0,,0,,0,
decree _ _,51,0.3,1.1,18,0.1,26,0.7,4,0.3,2,0.4,0,,1,0.2
"""Jompliance with",1.002,5.3,100.0,805,6.5,77,2.0,70,4.7,11,2.0,6,6.1,33,6.9
