Category,Total elections,Objections only / Number,Objections only / Percent,Challenges only / Number,Challenges only / Percent,Objections and challenges / Number,Objections and challenges / Percent,Total objections / Number,Total objections / Percent,Total challenges / Number,Total challenges / Percent
All representation elections,8416,819,9.7,304,3.6,182,2.2,1001,11.9,486,5.8
By type of case (section header),,,,,,,,,,,
In RC cases,7727,770,10.0,285,3.7,169,2.2,939,12.2,454,5.9
In RM cases,391,31,7.9,12,3.1,11,2.8,42,10.7,23,5.9
In RD cases,298,18,6.0,7,2.3,2,0.7,20,6.7,9,3.0
By type of election (section header),,,,,,,,,,,
Consent elections,2336,118,5.1,74,3.2,33,1.4,151,6.5,107,4.6
Stipulated elections,4330,411,9.5,152,3.5,86,2.0,497,11.5,238,5.5
Expedited elections,28,4,14.3,0,,0,,4,14.3,0,
Regional director-directed elections,1637,273,16.7,75,4.6,59,3.6,332,20.3,134,8.2
Board-directed elections,85,13,15.3,3,3.5,4,4.7,17,20.0,7,8.2
