Method and stage of disposition,All R cases / Number,All R cases / Percent,RC cases / Number,RC cases / Percent,RM cases / Number,RM cases / Percent,RD cases / Number,RD cases / Percent,UD cases / Number,UD cases / Percent
"Total, all",12000,100.0,10254,100.0,973,100.0,773,100.0,165,100.0
"Certification issued, total",8185,68.2,7422,72.4,458,47.1,305,39.5,88,53.3
After: Consent election,2183,18.2,1937,18.9,111,11.4,105,13.6,9,5.5
Before notice of hearing,1411,11.8,1257,12.1,78,8.0,70,9.1,6,3.6
"After notice of hearing, before close of hearing",761,6.3,689,6.7,32,3.3,32,4.1,3,1.8
"After hearing closed, before decision",11,.1,11,.1,1,.1,3,.4,0,0
Stipulated election,4297,35.8,4044,39.4,222,22.9,130,16.8,9,5.5
Before notice of hearing,1804,15.1,1720,16.8,57,5.9,20,2.6,0,0
"After notice of hearing, before hearing closed",2474,20.6,2343,22.9,66,6.7,60,8.5,5,3.0
"After hearing closed, before decision",29,.2,36,.4,0,0,4,1.2,,
Expedited election,25,.2,25,.2,0,0,,,0,0
Regional director-directed election,1489,12.4,1330,12.9,63,6.4,44,5.7,52,31.5
Board-directed election,91,.8,82,.8,5,.5,1,.1,3,1.8
"By withdrawal, total",2865,23.9,2256,22.0,334,34.3,275,35.6,60,36.4
Before notice of hearing,1603,13.4,1153,11.2,253,26.0,197,25.5,56,34.0
"After notice of hearing, before hearing closed",1090,9.1,959,9.3,63,6.4,65,8.4,3,1.8
"After hearing closed, before decision",55,.5,41,.4,10,1.0,4,.5,0,0
After regional director's decision and direction of election,103,.9,84,.8,7,.7,9,1.2,1,.6
After Board decision and direction of election,14,.1,19,.2,1,.1,,,0,0
"By dismissal, total",950,7.9,576,5.6,181,18.6,176,22.8,17,10.3
Before notice of hearing,503,4.2,240,2.4,120,12.3,143,18.5,0,0
"After notice of hearing, before hearing closed",180,1.5,120,1.2,32,3.3,23,3.0,5,3.0
"After hearing closed, before decision",10,.1,7,.1,3,.3,,,0,0
By regional director's decision,208,1.7,165,1.6,21,2.2,10,1.3,12,7.3
By Board decision,49,.4,44,.4,5,.5,,,0,0
