Section,Total proceedings,"Pending in district court July 1, 1969",Filed in district court fiscal year 1970,Total dispositions,Disposition of injunctions Granted,Disposition of injunctions Denied,Disposition of injunctions Settled,Disposition of injunctions Withdrawn,Disposition of injunctions Dismissed,Disposition of injunctions Inactive,"Pending in district court June 30, 1970"
"Under sec. 10(e), total",3,1,2,3,3,0,0,0,0,0,0
"Under sec. 10(j), total",18,1,17,15,12,2,0,0,1,0,3
8(a)(1)(2); 8(b)(1)(A)(2),1,0,1,1,1,0,0,0,0,0,0
8(a)(1)(3)(5),1,0,1,1,1,0,0,0,0,0,0
8(b)(1)(A),3,0,3,3,3,0,0,0,0,0,0
8(b)(1)(A)(2),3,0,3,3,2,1,0,0,0,0,0
8(b)(1)(B),2,0,2,2,1,1,0,0,0,0,0
8(b)(1)(A)(B),3,0,3,2,2,0,0,0,0,0,1
8(b)(1)(B)(2),2,0,2,1,1,0,0,0,0,0,1
8(b)(1)(B),2,1,1,1,1,0,0,0,0,0,1
8(b)(1)(B),1,0,1,1,1,0,0,0,0,0,0
"Under sec. 10(l), total",234,23,211,220,85,12,68,30,21,4,14
8(b)(4)(A),1,0,1,1,0,0,1,0,0,0,0
8(b)(4)(B),2,0,2,2,0,2,0,0,0,0,0
8(b)(4)(B); 8(c),112,6,106,107,38,6,36,12,14,1,5
8(b)(4)(D),16,1,15,13,1,1,9,0,2,0,3
8(b)(4)(E); 8(c),3,0,3,2,2,0,0,0,0,0,1
8(b)(7),3,0,3,3,1,1,1,0,0,0,0
8(b)(7)(C),66,11,55,59,24,1,13,13,4,1,3
8(b)(4)(B),23,5,18,23,9,1,6,3,1,2,1
8(e),8,0,8,9,5,0,2,2,0,0,1
