Case-type and stage,Total,Identification of Filing Party — AFL-CIO unions,Identification of Filing Party — Teamsters,Identification of Filing Party — Other national unions,Identification of Filing Party — Other local unions,Identification of Filing Party — Individuals,Identification of Filing Party — Employers
"RC cases — Pending July 1, 1970",2530,1378,590,213,342,7,
RC cases — Received fiscal 1971,10904,6073,3385,860,556,30,
RC cases — On docket fiscal 1971,13434,7451,3975,1073,898,37,
RC cases — Closed fiscal 1971,10912,5933,3326,883,742,28,
"RC cases — Pending June 30, 1971",2522,1518,649,190,156,9,
"RM cases — Pending July 1, 1970",188,,,,,,188
RM cases — Received fiscal 1971,1119,,,,,,1119
RM cases — On docket fiscal 1971,1307,,,,,,1307
RM cases — Closed fiscal 1971,1077,,,,,,1077
"RM cases — Pending June 30, 1971",230,,,,,,230
"RD cases — Pending July 1, 1970",140,1,1,0,0,138,
RD cases — Received fiscal 1971,942,4,0,3,3,932,
RD cases — On docket fiscal 1971,1082,5,0,3,3,1070,
RD cases — Closed fiscal 1971,907,5,0,3,3,895,
"RD cases — Pending June 30, 1971",175,0,0,1,0,175,
