Industrial group,Total elections,Number of elections in which representation rights were won by unions — Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions — Total,AFL-CIO,Teamsters,Other national,Other local,Total votes for no union,Eligible employees in units choosing representation
Fabricated metal products (except machinery and transportation equipment),443,253,147,58,36,12,190,27024,23240,14181,8649,2044,2774,714,11059,14138
Machinery (except electrical),517,235,152,46,24,13,,41839,33496,18318,12688,1870,9443,2936,18570,24307
"Electrical machinery, equipment, and supplies",284,102,58,10,19,10,182,24909,21938,14606,10553,2063,1775,190,7332,20063
Aircraft and parts,43,15,5,1,8,1,27,7408,6153,2983,1778,90,880,245,3750,2010
Ship and boat building and repairing,25,11,8,3,,,14,10658,9752,3574,2632,914,28,,6178,2629
Miscellaneous transportation equipment,248,131,48,28,50,5,117,24122,21002,12562,3873,1884,1144,2545,8360,8673
"Professional, scientific, and controlling instruments",46,14,10,3,1,,32,4607,4289,2063,1419,351,291,,2226,1820
Miscellaneous manufacturing,170,81,37,26,9,7,89,10917,9823,4377,2278,1144,722,233,5431,3135
Manufacturing — Total (cumulative through both manufacturing pages),4224,2136,1266,566,301,101,2088,392260,344400,187928,114204,25950,31261,16511,156504,164412
Metal mining,8,4,4,,,,4,1529,1412,1279,700,20,336,166,133,1419
Coal mining,27,15,6,0,0,9,12,1346,1205,1089,39,0,0,1050,116,1200
Crude petroleum and natural gas production,15,7,2,,5,,8,503,422,174,157,17,0,0,248,100
Nonmetallic mining and quarrying,18,9,2,7,,,9,873,778,367,166,37,144,0,200,443
Mining — Total,68,36,14,7,5,10,32,4098,3496,2288,1101,74,513,510,1008,2762
Construction,188,123,97,8,8,10,65,6168,5341,3775,2905,358,154,358,1766,4391
