Industrial group,Total elections,Number of elections in which won by unions — Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Number of elections in which no representative chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions — Total,AFL-CIO,Teamsters,Other national,Other local,Total votes for no union,Eligible employees in units choosing representation
Wholesale trade,730,376,78,243,21,34,354,17896,16267,8474,2891,4438,453,660,7793,8740
Retail trade,1239,645,439,153,17,31,594,60748,47743,21912,16068,3033,653,1300,20001,22531
"Finance, insurance, and real estate",90,45,35,8,0,2,45,9537,7945,4304,1956,260,59,2029,3641,4451
Local passenger transportation,45,30,11,15,0,4,15,2571,1990,1499,538,657,0,304,491,1353
"Motor freight, warehousing, and transportation services",427,287,85,190,6,6,140,12979,11372,5896,1344,3875,77,311,8663,6464
Water transportation,26,17,12,3,2,0,9,1672,1425,924,456,247,75,0,362,907
Other transportation,127,81,47,11,17,6,46,4623,4406,2705,1621,433,613,38,1701,2902
Communications,67,37,25,5,5,2,30,20348,16727,8729,6156,475,1587,511,7998,10477
"Heat, light, water, and sanitary services",156,82,44,7,26,5,74,5387,4531,2381,1225,184,861,111,2166,31922
"Transportation, communication, and other utilities — Total",848,467,303,231,14,19,381,55228,47723,26366,20019,5207,489,9321,11637,42690
Hotels and other lodging places,94,43,32,3,2,6,51,8505,6592,4329,1916,1419,192,116,2242,2712
Personal services,69,31,18,11,0,2,38,2822,2560,1196,667,411,118,0,1364,1378
"Automobile repair, garages, and other miscellaneous repair services",133,77,26,35,10,6,56,2677,2272,1207,404,608,111,84,1065,1846
Motion pictures and other amusement and recreation services,38,17,11,6,0,0,21,1316,1122,709,396,84,147,0,1,1241
Medical and other health services,228,111,13,13,85,0,117,13363,10768,5061,586,365,4005,105,5679,5267
Educational services,34,19,11,6,0,2,15,7147,6860,3294,766,0,2358,175,3566,1623
Nonprofit membership organizations,78,43,25,9,1,8,35,11062,9640,5303,2283,187,2747,86,4337,4407
Miscellaneous services,283,166,76,32,30,28,117,11952,9940,5233,1705,2156,1151,221,4707,5235
Services — Total,876,497,201,115,128,54,299,57489,49464,22236,9158,3463,8472,1975,27228,23460
"Total, all industrial groups",8362,4445,2453,1349,223,323,3917,596135,514294,253539,172602,42953,34325,14318,230448,274790
