Status,Totals,Identification of filing party AFL-CIO unions,Identification of filing party Teamsters,Identification of filing party Other national unions,Identification of filing party Other local unions,Identification of filing party Individuals,Identification of filing party Employers
"RC cases — Pending July 1, 1971",2522,1518,649,190,156,9,
RC cases — Received fiscal 1972,11666,6509,3750,750,630,18,
RC cases — On docket fiscal 1972,14188,8027,4399,949,786,27,
RC cases — Closed fiscal 1972,11359,6344,3629,765,598,23,
"RC cases — Pending June 30, 1972",2829,1683,770,184,188,4,
"RM cases — Pending July 1, 1971",230,,,,,,230
RM cases — Received fiscal 1972,965,,,,,,965
RM cases — On docket fiscal 1972,1195,,,,,,1195
RM cases — Closed fiscal 1972,1024,,,,,,1024
"RM cases — Pending June 30, 1972",171,,,,,,171
"RD cases — Pending July 1, 1971",175,0,0,0,0,175,
RD cases — Received fiscal 1972,1080,5,4,0,2,1069,
RD cases — On docket fiscal 1972,1255,5,4,0,2,1244,
RD cases — Closed fiscal 1972,1055,4,2,0,2,1047,
"RD cases — Pending June 30, 1972",200,1,2,0,2,197,
