Types of formal actions taken,Cases in which formal actions taken,Total formal actions taken,CA,CB,CC,CD Jurisdictional dispute,CD Unfair labor practices,CE,CP,CA combined with CB,C combined with representation cases,Other C combinations
10(k) notices of hearings issued,249,207,,,,207,,,,,,
Complaints issued,3749,2720,2067,265,153,,14,6,23,80,54,41
Backpay specifications issued,81,59,50,,,,,,,,,
"Hearings completed, total",1881,1342,912,130,37,108,3,6,14,53,60,19
Initial ULP hearings,1809,1288,868,124,37,108,3,6,14,52,59,17
Backpay hearings,56,43,32,,,,,,,1,1,1
Other hearings,16,11,,,,,,,,,,1
"Decisions by trial examiners, total",1533,1079,727,120,28,,2,5,12,47,55,13
Initial ULP decisions,1459,1023,749,117,28,,2,5,12,47,53,10
Backpay decisions,44,32,26,,,,,,,,1,1
Supplemental decisions,31,24,16,,,,,,,,1,2
"Decisions and orders by the Board, total",1885,1376,855,163,78,76,,5,13,25,75,40
Upon consent of parties:,,,,,,,,,,,,
Initial decisions,245,158,69,24,30,,1,,,,8,12
Supplemental decisions,23,13,6,,,,,,,,,
Adopting trial examiners' decisions (no exceptions filed):,,,,,,,,,,,,
Initial ULP decisions,350,264,183,40,10,,,,,,,
Supplemental decisions,9,7,7,,,,,,,,,
Contested:,,,,,,,,,,,,
Initial ULP decisions,1168,866,518,90,23,76,,5,13,25,56,25
Decisions based on stipulated record,27,16,8,1,,,,,,,,
Supplemental ULP decisions,41,32,23,3,3,,,,,,,
Backpay decisions,62,32,23,3,,,,,,,,
