Division and State,All cases,Subcategory columns (All C / All R / etc.; not parsed)
Maine,98,
New Hampshire,104,
Vermont,53,
Massachusetts,807,
Rhode Island,111,
Connecticut,323,
New England (total),1496,
New York,3333,
New Jersey,1485,
Pennsylvania,2540,
Middle Atlantic (total),7358,
Ohio,2074,
Indiana,1708,
Illinois,2221,
Michigan,2768,
Wisconsin,905,
East North Central (total),9810,
Iowa,390,
Minnesota,489,
Missouri,1353,
North Dakota,33,
South Dakota,75,
Nebraska,186,
Kansas,277,
West North Central (total),3238,
Delaware,82,
Maryland,534,
District of Columbia,199,
Virginia,871,
