Method and stage of disposition,All C: Number,All C: Percent of total closed,All C: Percent of total method,CA: Number,CA: Percent of total closed,CB: Number,CB: Percent of total closed,CC: Number,CC: Percent of total closed,CD: Number,CD: Percent of total closed,CE: Number,CE: Percent of total closed,CP: Number,CP: Percent of total closed
Total number cases closed,25555,100.0,,16725,100.0,5747,100.0,1928,100.0,630,100.0,79,100.0,446,100.0
Agreement of the parties,6071,22.8,100.0,4001,24.0,989,17.2,887,46.0,9,1.4,16,20.3,149,33.4
Informal settlement,5847,22.8,96.3,3926,23.5,937,16.3,832,43.2,,,15,19.0,137,30.7
Before issuance of complaint,4445,17.4,73.2,2838,17.0,787,13.7,724,37.5,(1),,10,12.7,119,26.7
"After issuance of complaint, before opening of hearing",1327,5.2,21.9,1033,6.1,146,2.5,98,5.1,,,4,5.1,17,3.8
During hearing opened before issuance of trial examiner's decision,75,0.3,1.2,55,0.3,4,0.1,10,0.5,,,,,1,0.2
Formal settlement,224,0.8,3.7,65,0.6,52,0.9,69,3.1,,,2,2.5,12,2.7
"After issuance of complaint, before opening of hearing",184,0.7,3.0,69,0.4,42,0.7,56,2.9,,,2,2.5,9,2.0
Stipulated decision,16,0.1,0.3,3,,1,,7,0.4,,,,,5,1.1
Consent decree,168,0.7,2.8,66,0.4,39,0.7,49,2.5,,,2,2.5,4,0.9
After hearing opened,40,0.2,0.7,,,,,10,0.6,,,,,3,0.7
Stipulated decision,1,,,,,,,1,0.1,,,,,,
Consent decree,39,0.2,0.7,,,,,10,0.5,,,,,3,0.7
Compliance with,1055,4.2,100.0,859,4.8,160,2.8,55,2.9,,,16,2.5,17,3.8
Trial examiner's decision Board decision,616,2.4,58.4,450,2.7,126,2.2,42,2.1,,,,,,
Adopting trial examiner's decision (no exceptions filed),132,0.5,12.5,105,0.6,16,0.3,,,,,,,,
Contested,484,1.9,45.9,345,2.1,63,1.1,37,1.9,,,,,,
